ts,smClockMHz,memClockMHz,tempC,utilGpuPct,utilMemPct,powerW,pstate,clockThrottleReasons
21:11:48.421,210,405,47,19,29,7.93,P8,0x0000000000000001
21:11:49.569,210,405,47,18,30,7.96,P8,0x0000000000000001
21:11:50.697,210,405,47,19,30,7.93,P8,0x0000000000000001
21:11:51.835,210,405,47,31,31,8.08,P8,0x0000000000000001
21:11:52.989,210,405,47,19,31,7.86,P8,0x0000000000000001
21:11:54.467,255,405,48,28,31,7.67,P8,0x0000000000000001
21:11:56.233,210,405,48,23,30,7.58,P8,0x0000000000000001
21:11:57.404,210,405,48,25,31,7.54,P8,0x0000000000000001
21:11:58.536,255,405,49,24,30,7.92,P8,0x0000000000000001
21:11:59.668,255,405,49,6,29,8.00,P8,0x0000000000000001
21:12:00.797,210,405,49,6,30,7.95,P8,0x0000000000000001
21:12:01.925,210,405,49,19,31,7.97,P8,0x0000000000000001
21:12:03.029,210,405,49,10,30,8.03,P8,0x0000000000000001
21:12:04.159,210,405,49,7,30,8.02,P8,0x0000000000000001
21:12:05.293,210,405,49,8,30,8.01,P8,0x0000000000000001
21:12:06.410,210,405,49,11,30,8.06,P8,0x0000000000000001
21:12:07.540,210,405,49,19,31,8.06,P8,0x0000000000000001
21:12:08.657,225,405,49,18,22,8.00,P8,0x0000000000000001
21:12:09.803,225,405,49,15,31,8.02,P8,0x0000000000000001
21:12:10.933,210,405,49,18,30,8.11,P8,0x0000000000000001
21:12:12.062,210,405,49,7,30,8.05,P8,0x0000000000000001
21:12:13.193,2115,7001,50,22,2,17.88,P3,0x0000000000000001
21:12:14.358,2115,7001,50,5,2,18.35,P3,0x0000000000000001
21:12:15.490,825,810,49,13,18,12.36,P5,0x0000000000000001
21:12:16.620,600,810,49,12,18,10.83,P5,0x0000000000000001
21:12:17.761,450,810,49,13,19,10.73,P5,0x0000000000000001
21:12:18.903,345,405,49,22,37,9.96,P8,0x0000000000000001
21:12:20.045,270,405,49,22,37,8.22,P8,0x0000000000000001
21:12:21.190,240,405,49,35,37,8.14,P8,0x0000000000000001
21:12:22.341,225,405,49,33,37,8.15,P8,0x0000000000000001
21:12:23.992,2115,8001,50,23,2,11.88,P0,0x0000000000000001
21:12:25.253,2115,8001,50,2,2,20.14,P4,0x0000000000000001
21:12:26.430,585,6001,49,18,3,12.74,P4,0x0000000000000001
21:12:27.606,495,810,49,33,20,11.03,P5,0x0000000000000001
21:12:28.745,495,810,49,12,18,10.56,P5,0x0000000000000001
21:12:29.865,495,810,49,4,18,10.72,P5,0x0000000000000001
21:12:30.997,210,405,49,7,36,8.22,P8,0x0000000000000001
21:12:32.133,210,405,48,7,35,8.17,P8,0x0000000000000001
21:12:33.266,210,405,48,7,36,8.14,P8,0x0000000000000001
