ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
17:39:08,11251,28743,0,0,0,
17:39:19,10637,29542,2,605,801,gradle#46140:ws98/pv197|gradle#4284:ws507/pv604
17:39:29,9344,31238,3,1645,2251,gradle#46140:ws100/pv199|gradle#4284:ws532/pv603|client#23812:ws1013/pv1449
17:39:40,8434,32129,4,2395,2976,gradle#46140:ws100/pv198|gradle#4284:ws536/pv607|client#23812:ws1318/pv1612|gradle#16924:ws441/pv559
17:39:51,7037,33444,4,3542,4079,gradle#46140:ws99/pv197|gradle#4284:ws534/pv605|client#23812:ws2254/pv2524|gradle#16924:ws655/pv753
17:40:02,6532,33893,4,4170,4674,gradle#46140:ws99/pv198|gradle#4284:ws536/pv607|client#23812:ws2934/pv3179|gradle#16924:ws601/pv690
17:40:13,6382,34056,4,4641,5146,gradle#46140:ws102/pv199|gradle#4284:ws536/pv607|client#23812:ws3401/pv3648|gradle#16924:ws602/pv692
17:40:23,6398,34129,4,4643,5148,gradle#46140:ws99/pv196|gradle#4284:ws536/pv607|client#23812:ws3405/pv3652|gradle#16924:ws603/pv693
17:40:34,6250,35105,4,4747,6125,gradle#46140:ws99/pv197|gradle#4284:ws536/pv606|client#23812:ws3501/pv4622|gradle#16924:ws611/pv700
17:40:45,5642,37453,4,5296,8402,gradle#46140:ws99/pv197|gradle#4284:ws537/pv607|client#23812:ws4049/pv6898|gradle#16924:ws611/pv700
17:40:56,5763,37394,4,5194,8314,gradle#46140:ws99/pv197|gradle#4284:ws531/pv601|client#23812:ws3953/pv6816|gradle#16924:ws611/pv700
17:41:06,5718,37426,4,5264,8399,gradle#46140:ws100/pv198|gradle#4284:ws531/pv601|client#23812:ws4050/pv6928|gradle#16924:ws583/pv672
17:41:17,5679,37456,4,5173,8313,gradle#46140:ws100/pv198|gradle#4284:ws531/pv601|client#23812:ws3968/pv6852|gradle#16924:ws574/pv662
17:41:27,5639,37503,4,5200,8326,gradle#46140:ws100/pv198|gradle#4284:ws531/pv602|client#23812:ws3995/pv6864|gradle#16924:ws574/pv662
