ts,smClockMHz,memClockMHz,tempC,utilGpuPct,utilMemPct,powerW,pstate,clockThrottleReasons
17:39:07.764,210,405,44,13,32,7.42,P8,0x0000000000000001
17:39:08.939,210,405,44,11,30,7.53,P8,0x0000000000000001
17:39:10.045,210,405,44,16,31,7.53,P8,0x0000000000000001
17:39:11.152,210,405,44,10,30,7.58,P8,0x0000000000000001
17:39:12.267,210,405,44,11,30,7.47,P8,0x0000000000000001
17:39:13.381,210,405,45,11,30,7.52,P8,0x0000000000000001
17:39:14.485,210,405,45,11,30,7.53,P8,0x0000000000000001
17:39:15.591,210,405,45,11,30,7.50,P8,0x0000000000000001
17:39:16.720,210,405,45,11,30,7.52,P8,0x0000000000000001
17:39:17.835,210,405,45,12,30,7.54,P8,0x0000000000000001
17:39:18.939,210,405,46,8,30,7.56,P8,0x0000000000000001
17:39:20.057,210,405,46,11,30,7.55,P8,0x0000000000000001
17:39:21.175,210,405,46,7,30,7.62,P8,0x0000000000000001
17:39:22.290,210,405,46,12,30,7.63,P8,0x0000000000000001
17:39:23.403,210,405,46,11,30,7.64,P8,0x0000000000000001
17:39:24.514,210,405,47,12,30,7.66,P8,0x0000000000000001
17:39:25.660,2115,7001,48,20,3,11.64,P3,0x0000000000000001
17:39:26.828,2115,8001,48,5,1,18.51,P0,0x0000000000000001
17:39:28.187,870,810,48,22,9,16.34,P5,0x0000000000000001
17:39:29.368,750,810,48,33,10,10.47,P5,0x0000000000000001
17:39:30.515,540,810,48,7,7,10.14,P5,0x0000000000000001
17:39:31.663,345,405,48,16,16,8.57,P8,0x0000000000000001
17:39:32.799,255,405,48,9,17,7.56,P8,0x0000000000000001
17:39:33.951,210,405,48,10,16,7.53,P8,0x0000000000000001
17:39:35.091,210,405,48,17,17,7.47,P8,0x0000000000000001
17:39:36.224,210,405,49,18,12,7.41,P8,0x0000000000000001
17:39:37.467,210,405,49,19,16,7.32,P8,0x0000000000000001
17:39:40.134,210,405,49,1,24,7.03,P8,0x0000000000000001
17:39:41.987,210,405,49,5,14,6.51,P8,0x0000000000000001
17:39:43.305,210,405,49,32,26,7.53,P8,0x0000000000000001
17:39:44.475,210,405,49,35,27,7.64,P8,0x0000000000000001
17:39:45.628,210,405,49,11,26,7.73,P8,0x0000000000000001
17:39:47.854,210,405,49,8,7,6.77,P8,0x0000000000000001
17:39:49.180,210,405,49,20,34,7.26,P8,0x0000000000000001
17:39:50.345,210,405,49,19,16,7.48,P8,0x0000000000000001
17:39:51.814,210,405,49,10,37,7.50,P8,0x0000000000000001
17:39:53.054,210,405,49,16,37,7.59,P8,0x0000000000000001
17:39:54.340,210,405,49,15,24,7.23,P8,0x0000000000000001
17:39:55.777,210,405,49,12,20,7.09,P8,0x0000000000000001
17:39:57.098,225,405,49,32,25,7.41,P8,0x0000000000000001
17:39:58.874,315,405,49,12,26,7.23,P8,0x0000000000000001
17:40:00.245,210,405,49,15,22,7.20,P8,0x0000000000000001
17:40:02.337,210,405,49,23,25,7.15,P8,0x0000000000000001
17:40:03.474,210,405,49,25,24,7.69,P8,0x0000000000000001
17:40:04.600,210,405,48,23,25,7.88,P8,0x0000000000000001
17:40:05.720,210,405,48,22,25,7.89,P8,0x0000000000000001
17:40:06.856,210,405,48,26,25,7.90,P8,0x0000000000000001
17:40:07.960,210,405,48,25,26,7.90,P8,0x0000000000000001
17:40:09.161,210,405,48,13,25,7.77,P8,0x0000000000000001
17:40:10.301,210,405,48,34,25,7.72,P8,0x0000000000000001
17:40:12.297,210,405,48,10,24,7.32,P8,0x0000000000000001
17:40:14.183,210,405,48,32,25,7.50,P8,0x0000000000000001
17:40:15.469,210,405,48,35,25,7.63,P8,0x0000000000000001
17:40:16.700,210,405,48,17,25,7.84,P8,0x0000000000000001
17:40:17.976,210,405,48,33,25,7.80,P8,0x0000000000000001
17:40:19.110,210,405,48,25,26,7.85,P8,0x0000000000000001
17:40:20.231,210,405,48,25,25,7.83,P8,0x0000000000000001
17:40:21.435,210,405,48,22,25,7.81,P8,0x0000000000000001
17:40:22.545,210,405,48,25,25,7.88,P8,0x0000000000000001
17:40:23.650,210,405,48,26,26,7.87,P8,0x0000000000000001
17:40:24.758,210,405,47,23,26,7.86,P8,0x0000000000000001
17:40:25.905,210,405,47,6,22,7.75,P8,0x0000000000000001
17:40:27.171,210,405,48,3,26,7.54,P8,0x0000000000000001
17:40:28.336,210,405,48,14,21,7.18,P8,0x0000000000000001
