ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
09:22:57,10423,27260,0,0,0,
09:23:07,9810,28136,2,609,805,gradle#8940:ws99/pv200|gradle#14368:ws510/pv605
09:23:18,9406,28444,2,994,1158,gradle#8940:ws98/pv196|gradle#14368:ws896/pv962
09:23:28,9387,29513,3,1277,2352,gradle#8940:ws98/pv196|gradle#14368:ws808/pv878|client#45868:ws371/pv1278
09:23:39,8543,29677,3,2069,2592,gradle#8940:ws100/pv198|gradle#14368:ws841/pv912|client#45868:ws1128/pv1482
09:23:49,7190,30931,3,3131,3565,gradle#8940:ws106/pv204|gradle#14368:ws858/pv924|client#45868:ws2167/pv2437
09:24:00,6543,31559,3,3771,4191,gradle#8940:ws99/pv199|gradle#14368:ws859/pv925|client#45868:ws2813/pv3067
09:24:11,6510,31571,3,3797,4204,gradle#8940:ws100/pv199|gradle#14368:ws859/pv925|client#45868:ws2838/pv3080
09:24:21,6409,32544,3,3919,5198,gradle#8940:ws99/pv197|gradle#14368:ws860/pv926|client#45868:ws2960/pv4075
09:24:32,5817,34014,3,4533,6708,gradle#8940:ws100/pv199|gradle#14368:ws865/pv930|client#45868:ws3568/pv5579
09:24:42,5415,35241,3,4892,7890,gradle#8940:ws100/pv199|gradle#14368:ws875/pv940|client#45868:ws3917/pv6751
09:24:53,5484,35215,3,4820,7864,gradle#8940:ws100/pv199|gradle#14368:ws876/pv940|client#45868:ws3844/pv6725
09:25:04,5391,35299,3,4897,7917,gradle#8940:ws100/pv199|gradle#14368:ws876/pv940|client#45868:ws3921/pv6778
09:25:14,5434,35260,3,4895,7920,gradle#8940:ws100/pv199|gradle#14368:ws876/pv940|client#45868:ws3919/pv6781
09:25:25,5968,35192,3,4813,7839,gradle#8940:ws100/pv199|gradle#14368:ws876/pv940|client#45868:ws3837/pv6700
09:25:35,6046,35102,3,4849,7859,gradle#8940:ws100/pv199|gradle#14368:ws876/pv940|client#45868:ws3873/pv6720
09:25:46,5896,35258,3,4856,7866,gradle#8940:ws100/pv199|gradle#14368:ws876/pv940|client#45868:ws3880/pv6727
09:25:56,5887,35258,3,4857,7866,gradle#8940:ws100/pv199|gradle#14368:ws876/pv940|client#45868:ws3881/pv6727
09:26:07,5904,35253,3,4859,7868,gradle#8940:ws100/pv199|gradle#14368:ws876/pv940|client#45868:ws3883/pv6729
09:26:17,5849,35363,3,4861,7963,gradle#8940:ws100/pv199|gradle#14368:ws876/pv940|client#45868:ws3885/pv6824
09:26:28,5500,35488,3,5238,8108,gradle#8940:ws100/pv198|gradle#14368:ws880/pv944|client#45868:ws4258/pv6966
09:26:38,5456,35541,3,5239,8109,gradle#8940:ws100/pv198|gradle#14368:ws880/pv944|client#45868:ws4259/pv6967
09:26:49,5431,35570,3,5254,8124,gradle#8940:ws100/pv198|gradle#14368:ws880/pv944|client#45868:ws4274/pv6982
09:27:00,5394,35606,3,5323,8193,gradle#8940:ws100/pv198|gradle#14368:ws880/pv944|client#45868:ws4343/pv7051
09:27:10,5455,35524,3,5254,8116,gradle#8940:ws100/pv198|gradle#14368:ws880/pv944|client#45868:ws4274/pv6974
09:27:20,5459,35507,3,5246,8108,gradle#8940:ws100/pv198|gradle#14368:ws880/pv944|client#45868:ws4266/pv6966
09:27:31,5415,35579,3,5241,8103,gradle#8940:ws100/pv199|gradle#14368:ws880/pv944|client#45868:ws4261/pv6960
09:27:41,5400,35586,3,5256,8119,gradle#8940:ws100/pv199|gradle#14368:ws880/pv945|client#45868:ws4276/pv6975
09:27:52,5410,35555,3,5267,8130,gradle#8940:ws100/pv199|gradle#14368:ws880/pv945|client#45868:ws4287/pv6986
09:28:02,5454,35504,3,5261,8124,gradle#8940:ws100/pv199|gradle#14368:ws880/pv945|client#45868:ws4281/pv6980
09:28:13,5499,35494,3,5281,8179,gradle#8940:ws100/pv199|gradle#14368:ws880/pv945|client#45868:ws4301/pv7035
09:28:23,5289,36172,3,5515,8855,gradle#8940:ws103/pv201|gradle#14368:ws880/pv945|client#45868:ws4532/pv7709
09:28:34,4769,36382,3,5984,9058,gradle#8940:ws100/pv198|gradle#14368:ws883/pv947|client#45868:ws5001/pv7913
09:28:45,4745,36302,3,6012,8961,gradle#8940:ws100/pv199|gradle#14368:ws883/pv947|client#45868:ws5029/pv7815
09:28:55,4743,36248,3,5993,8894,gradle#8940:ws100/pv199|gradle#14368:ws883/pv947|client#45868:ws5010/pv7748
09:29:06,4731,36243,3,5998,8886,gradle#8940:ws100/pv199|gradle#14368:ws883/pv947|client#45868:ws5015/pv7740
09:29:16,4769,36235,3,5978,8866,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws4994/pv7720
09:29:27,4762,36222,3,5986,8873,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5002/pv7727
09:29:37,4758,36217,3,5991,8877,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5007/pv7731
09:29:48,4744,36234,3,5990,8876,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5006/pv7730
09:29:58,4316,36708,3,6478,9366,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5494/pv8220
09:30:09,4734,36247,3,6010,8888,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5026/pv7742
09:30:19,4782,36227,3,6010,8888,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5026/pv7742
09:30:30,5194,36218,3,6011,8889,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5027/pv7743
09:30:40,5200,36224,3,6013,8891,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5029/pv7745
09:30:51,5160,36262,3,6015,8893,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5031/pv7747
09:31:01,4805,36634,3,6371,9267,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5387/pv8121
09:31:12,4846,36537,3,6383,9268,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5399/pv8122
09:31:22,4768,36570,3,6394,9274,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5410/pv8128
09:31:33,4780,36730,3,6392,9442,gradle#8940:ws101/pv199|gradle#14368:ws883/pv947|client#45868:ws5408/pv8296
09:31:43,4817,36624,3,6392,9364,gradle#8940:ws100/pv197|gradle#14368:ws883/pv947|client#45868:ws5409/pv8220
09:31:54,4901,36517,3,6330,9246,gradle#8940:ws100/pv197|gradle#14368:ws883/pv947|client#45868:ws5347/pv8102
09:32:04,4849,36484,3,6353,9232,gradle#8940:ws100/pv197|gradle#14368:ws883/pv947|client#45868:ws5370/pv8088
09:32:15,4873,36479,3,6373,9249,gradle#8940:ws100/pv197|gradle#14368:ws883/pv947|client#45868:ws5390/pv8105
09:32:25,4882,36478,3,6376,9252,gradle#8940:ws100/pv197|gradle#14368:ws883/pv947|client#45868:ws5393/pv8108
09:32:35,4886,36462,3,6376,9252,gradle#8940:ws100/pv197|gradle#14368:ws883/pv947|client#45868:ws5393/pv8108
09:32:46,11237,27240,0,0,0,
09:32:56,11194,27247,0,0,0,
09:33:07,11167,27290,0,0,0,
09:33:17,11087,27345,0,0,0,
09:33:28,11141,27288,0,0,0,
09:33:39,11107,27310,0,0,0,
09:33:49,11094,27346,0,0,0,
09:34:00,11128,27291,0,0,0,
09:34:10,11122,27303,0,0,0,
09:34:21,11148,27266,0,0,0,
09:34:31,11116,27283,0,0,0,
09:34:42,11090,27315,0,0,0,
09:34:52,11150,27263,0,0,0,
09:35:03,11092,27318,0,0,0,
