ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
10:47:00,9809,29461,1,587,673,gradle#18952:ws587/pv673
10:47:10,9127,30509,3,1076,1392,gradle#18952:ws587/pv673|gradle#2472:ws98/pv199|gradle#4144:ws391/pv520
10:47:21,8211,31986,4,1913,2880,gradle#18952:ws587/pv673|gradle#2472:ws99/pv197|gradle#4144:ws543/pv621|client#37848:ws684/pv1389
10:47:31,7229,32931,4,2370,2987,gradle#18952:ws587/pv673|gradle#2472:ws100/pv199|gradle#4144:ws533/pv603|client#37848:ws1150/pv1512
10:47:42,7325,32639,4,2899,3448,gradle#18952:ws591/pv677|gradle#2472:ws108/pv207|gradle#4144:ws560/pv631|client#37848:ws1640/pv1933
10:47:53,6960,33057,4,3237,3786,gradle#18952:ws591/pv677|gradle#2472:ws100/pv200|gradle#4144:ws535/pv604|client#37848:ws2011/pv2305
10:48:03,6829,33149,4,3522,4080,gradle#18952:ws591/pv677|gradle#2472:ws100/pv201|gradle#4144:ws535/pv605|client#37848:ws2296/pv2597
10:48:14,7280,32504,4,3051,3598,gradle#18952:ws591/pv677|gradle#2472:ws100/pv198|gradle#4144:ws541/pv611|client#37848:ws1819/pv2112
10:48:24,6359,33666,4,3321,3869,gradle#18952:ws591/pv677|gradle#2472:ws100/pv198|gradle#4144:ws541/pv611|client#37848:ws2089/pv2383
10:48:35,6434,33400,4,3921,4471,gradle#18952:ws591/pv677|gradle#2472:ws100/pv198|gradle#4144:ws542/pv611|client#37848:ws2688/pv2985
10:48:46,7263,32583,4,3251,3796,gradle#18952:ws592/pv677|gradle#2472:ws100/pv198|gradle#4144:ws535/pv604|client#37848:ws2024/pv2317
10:48:56,7251,32600,4,3218,3763,gradle#18952:ws592/pv677|gradle#2472:ws100/pv198|gradle#4144:ws535/pv605|client#37848:ws1991/pv2283
10:49:07,7253,32576,4,3157,3701,gradle#18952:ws592/pv677|gradle#2472:ws100/pv198|gradle#4144:ws535/pv605|client#37848:ws1930/pv2221
10:49:17,7122,32736,4,3256,3802,gradle#18952:ws592/pv677|gradle#2472:ws100/pv199|gradle#4144:ws535/pv605|client#37848:ws2029/pv2321
10:49:28,7194,32646,4,3321,3869,gradle#18952:ws592/pv678|gradle#2472:ws100/pv199|gradle#4144:ws535/pv604|client#37848:ws2094/pv2388
10:49:38,7156,32654,4,3304,3850,gradle#18952:ws592/pv678|gradle#2472:ws99/pv197|gradle#4144:ws538/pv608|client#37848:ws2075/pv2367
10:49:49,7065,32805,4,3567,4086,gradle#18952:ws592/pv678|gradle#2472:ws99/pv197|gradle#4144:ws538/pv608|client#37848:ws2338/pv2603
10:50:00,6190,33845,4,4068,4587,gradle#18952:ws596/pv682|gradle#2472:ws99/pv197|gradle#4144:ws538/pv608|client#37848:ws2835/pv3100
